,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,amateurs,9,1,0.34309961014318535,Real homophily,0.8947368421052632,0.42859472897987466,-5.287475160058085
0,experts,9,1,0.39151682750934563,Potential homophily,0.09774436090225563,,
0,amateurs,9,1,0.9435957705095883,Potential homophily,0.8947368421052632,,0.46013094630605944
0,experts,9,1.25,0.7810792316972736,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,1.25,0.3536503438626657,Real homophily,0.8947368421052632,0.42859472897987466,-5.186489565885916
0,experts,9,1.25,0.3898133753492564,Potential homophily,0.09774436090225563,,
0,amateurs,9,1.25,0.945225192363364,Potential homophily,0.8947368421052632,,0.4757268411921981
0,experts,9,1.5,0.785981256712687,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,9,1.5,0.36544546859799576,Real homophily,0.8947368421052632,0.42859472897987466,-5.073593371990614
0,experts,9,1.5,0.38831022215111033,Potential homophily,0.09774436090225563,,
0,amateurs,9,1.5,0.9466992450281847,Potential homophily,0.8947368421052632,,0.4898356309840534
0,experts,11,0,0.6814506160154821,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,0,0.3441112516428762,Real homophily,0.8947368421052632,0.42859472897987466,-5.2777923057039
0,experts,11,0,0.3997887856860086,Potential homophily,0.09774436090225563,,
0,amateurs,11,0,0.9275167707086884,Potential homophily,0.8947368421052632,,0.30623194821173194
0,experts,11,0.25,0.698794379245097,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,0.25,0.34211226997322974,Real homophily,0.8947368421052632,0.42859472897987466,-5.2969254159705175
0,experts,11,0.25,0.39555258173416935,Potential homophily,0.09774436090225563,,
0,amateurs,11,0.25,0.9304556642540924,Potential homophily,0.8947368421052632,,0.3343613578605988
0,experts,11,0.5,0.7113631255814834,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,0.5,0.34663395921155743,Real homophily,0.8947368421052632,0.42859472897987466,-5.253646390403667
0,experts,11,0.5,0.39244397811903736,Potential homophily,0.09774436090225563,,
0,amateurs,11,0.5,0.9328903575655583,Potential homophily,0.8947368421052632,,0.35766485098462897
0,experts,11,0.75,0.7223368374496649,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,0.75,0.3522379135552336,Real homophily,0.8947368421052632,0.42859472897987466,-5.200008541685623
0,experts,11,0.75,0.38999145999991947,Potential homophily,0.09774436090225563,,
0,amateurs,11,0.75,0.9350826877672214,Potential homophily,0.8947368421052632,,0.3786485829148329
0,experts,11,1,0.7320414104161547,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,1,0.35914232445952643,Real homophily,0.8947368421052632,0.42859472897987466,-5.133923465887392
0,experts,11,1,0.38797468636734633,Potential homophily,0.09774436090225563,,
0,amateurs,11,1,0.93707318318551,Potential homophily,0.8947368421052632,,0.39770046763273864
0,experts,11,1.25,0.7406954162447499,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,1.25,0.3674571161699449,Real homophily,0.8947368421052632,0.42859472897987466,-5.054339030944814
0,experts,11,1.25,0.38627105242105203,Potential homophily,0.09774436090225563,,
0,amateurs,11,1.25,0.9388911557113092,Potential homophily,0.8947368421052632,,0.41510106180824513
0,experts,11,1.5,0.7484553306950679,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,11,1.5,0.3771984332142745,Real homophily,0.8947368421052632,0.42859472897987466,-4.961100710663374
0,experts,11,1.5,0.3848048326577644,Potential homophily,0.09774436090225563,,
0,amateurs,11,1.5,0.9405588390895799,Potential homophily,0.8947368421052632,,0.43106317414312206
0,experts,13,0,0.6391991367186672,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,0,0.36869504013722504,Real homophily,0.8947368421052632,0.42859472897987466,-5.042490330115134
0,experts,13,0,0.38627200768298564,Potential homophily,0.09774436090225563,,
0,amateurs,13,0,0.9164991012901825,Potential homophily,0.8947368421052632,,0.20077711234888967
0,experts,13,0.25,0.6610841158769654,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,0.25,0.36084376555278014,Real homophily,0.8947368421052632,0.42859472897987466,-5.11763824399482
0,experts,13,0.25,0.38277589437547477,Potential homophily,0.09774436090225563,,
0,amateurs,13,0.25,0.9198928636223448,Potential homophily,0.8947368421052632,,0.23326026609958564
0,experts,13,0.5,0.6768105236931728,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,0.5,0.36348348682526144,Real homophily,0.8947368421052632,0.42859472897987466,-5.0923723403867855
0,experts,13,0.5,0.3802897309348845,Potential homophily,0.09774436090225563,,
0,amateurs,13,0.5,0.9228021817099351,Potential homophily,0.8947368421052632,,0.26110659636652156
0,experts,13,0.75,0.6906023837959532,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,0.75,0.3672587309071554,Real homophily,0.8947368421052632,0.42859472897987466,-5.0562378613172285
0,experts,13,0.75,0.3783909620949262,Potential homophily,0.09774436090225563,,
0,amateurs,13,0.75,0.9254447528695388,Potential homophily,0.8947368421052632,,0.28639977746558504
0,experts,13,1,0.7028459264632475,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,1,0.3724167093622223,Real homophily,0.8947368421052632,0.42859472897987466,-5.006868638961588
0,experts,13,1,0.3768767806778794,Potential homophily,0.09774436090225563,,
0,amateurs,13,1,0.9278656472216995,Potential homophily,0.8947368421052632,,0.3095711948362665
0,experts,13,1.25,0.7138013940706409,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,1.25,0.37909003935834057,Real homophily,0.8947368421052632,0.42859472897987466,-4.94299533757017
0,experts,13,1.25,0.37563648935937294,Potential homophily,0.09774436090225563,,
0,amateurs,13,1.25,0.9300971544260839,Potential homophily,0.8947368421052632,,0.3309299066496597
0,experts,13,1.5,0.7236562501753158,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,13,1.5,0.38731067362799193,Real homophily,0.8947368421052632,0.42859472897987466,-4.864312123846364
0,experts,13,1.5,0.3746029417421625,Potential homophily,0.09774436090225563,,
0,amateurs,13,1.5,0.9321635206607165,Potential homophily,0.8947368421052632,,0.3507079834668578
0,experts,17,0,0.5895495780585799,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,0,0.40042256547153793,Real homophily,0.8947368421052632,0.42859472897987466,-4.7388125876295675
0,experts,17,0,0.3853281138340188,Potential homophily,0.09774436090225563,,
0,amateurs,17,0,0.8885189955167246,Potential homophily,0.8947368421052632,,-0.06703247148277876
0,experts,17,0.25,0.6179959438765679,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,0.25,0.382960262071186,Real homophily,0.8947368421052632,0.42859472897987466,-4.90595177731865
0,experts,17,0.25,0.3827843392168472,Potential homophily,0.09774436090225563,,
0,amateurs,17,0.25,0.8934408008728034,Potential homophily,0.8947368421052632,,-0.019923763074596142
0,experts,17,0.5,0.6379278069479807,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,0.5,0.383344611256812,Real homophily,0.8947368421052632,0.42859472897987466,-4.902273006541943
0,experts,17,0.5,0.3809343462687199,Potential homophily,0.09774436090225563,,
0,amateurs,17,0.5,0.8977210689458287,Potential homophily,0.8947368421052632,,0.02104451705293159
0,experts,17,0.75,0.6554259969441456,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,0.75,0.38497493683530665,Real homophily,0.8947368421052632,0.42859472897987466,-4.886668461719209
0,experts,17,0.75,0.3795016874185928,Potential homophily,0.09774436090225563,,
0,amateurs,17,0.75,0.9016505982852119,Potential homophily,0.8947368421052632,,0.05865572644417056
0,experts,17,1,0.6709682719758977,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,1,0.3881116797617902,Real homophily,0.8947368421052632,0.42859472897987466,-4.856645350851439
0,experts,17,1,0.37834398158049265,Potential homophily,0.09774436090225563,,
0,amateurs,17,1,0.9052911980547292,Potential homophily,0.8947368421052632,,0.09350146709526531
0,experts,17,1.25,0.6848760097849464,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,1.25,0.39290002448122247,Real homophily,0.8947368421052632,0.42859472897987466,-4.810814051394015
0,experts,17,1.25,0.37738285844847425,Potential homophily,0.09774436090225563,,
0,amateurs,17,1.25,0.9086864758696135,Potential homophily,0.8947368421052632,,0.12599912618058595
0,experts,17,1.5,0.6973820064410869,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,17,1.5,0.399381446506844,Real homophily,0.8947368421052632,0.42859472897987466,-4.748777583434495
0,experts,17,1.5,0.3765709378876457,Potential homophily,0.09774436090225563,,
0,amateurs,17,1.5,0.9118682787193455,Potential homophily,0.8947368421052632,,0.15645352488516387
0,experts,19,0,0.5757416229329019,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,0,0.4098460244657921,Real homophily,0.8947368421052632,0.42859472897987466,-4.648616622970278
0,experts,19,0,0.38911086650166693,Potential homophily,0.09774436090225563,,
0,amateurs,19,0,0.8794831971943038,Potential homophily,0.8947368421052632,,-0.15351796971166407
0,experts,19,0.25,0.6064916666137977,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,0.25,0.38860736500271453,Real homophily,0.8947368421052632,0.42859472897987466,-4.85190093497402
0,experts,19,0.25,0.3868788799028772,Potential homophily,0.09774436090225563,,
0,amateurs,19,0.25,0.884865656943074,Potential homophily,0.8947368421052632,,-0.10200014068772108
0,experts,19,0.5,0.627751768977083,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,0.5,0.3883584564562014,Real homophily,0.8947368421052632,0.42859472897987466,-4.854283345347788
0,experts,19,0.5,0.3851855881080667,Potential homophily,0.09774436090225563,,
0,amateurs,19,0.5,0.8895666378142876,Potential homophily,0.8947368421052632,,-0.05700503806324781
0,experts,19,0.75,0.6464018154424345,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,19,0.75,0.38940968675063187,Real homophily,0.8947368421052632,0.42859472897987466,-4.844221569672524
0,experts,19,0.75,0.3838188845701408,Potential homophily,0.09774436090225563,,
